,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.7418268902307179,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.9658924230627532,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.2582839206053925,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.606660113094513,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.1975668287922726,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.09190371484670679,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.8488419732201565,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.6141924073375834,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.5010989875777483,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.8303842759887871,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.009928055854089735,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.872903157258902,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.30706911589068364,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.12437588044988346,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.1077017299414259,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.9160620374919725,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.9417196186552234,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.22882001002300567,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.14260910379351377,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.8741553962666718,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.00632886687756351,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.368161170951105,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.9606017537936162,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.8007344872732781,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.36724453607230734,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.8024252145445682,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.14127622007398655,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.6923286140436558,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.6587767974258691,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.5568688038338404,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.19725043852614,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.7325829853662484,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.23426312028179808,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.6936758860464564,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.3098409853911105,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.7131502593316498,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.9549665526248327,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.4847787665702997,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.09070270358323185,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.583194987613489,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.5886652220955086,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.1519973147411141,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.8939700385276944,2020-02-27,False
43,Iceland,0.08012185943653682,1.0191594964630148,0.8673845932674886,2020-02-28,False
44,Nigeria,0.05168053523162135,0.6676790501712345,0.07156047865801274,2020-02-28,False
45,Belarus,0.0835747801844669,1.0896211532161135,0.22842609254080215,2020-02-28,False
46,Mexico,0.205439559150075,2.4852093151317787,0.3928835775261499,2020-02-28,False
47,New Zealand,0.1770589153035655,2.1058097955918593,0.7298695969321554,2020-02-28,False
48,Luxembourg,0.13321845366722324,1.687090995265619,0.262769525027029,2020-02-29,False
49,Qatar,0.3422733963599571,4.131158260686469,0.3038071844631165,2020-02-29,False
50,Ireland,0.6182126182828969,7.968395027191434,0.6976031667645841,2020-02-29,False
51,Ecuador,0.014283562920291707,0.17487997954360934,0.2639663282639013,2020-03-01,False
52,Dominican Republic,0.1568178544868256,1.8891090756809115,0.07123053498559506,2020-03-01,False
53,Czech Republic,0.31433709094766726,3.8981248953850236,0.22548925899404915,2020-03-01,False
54,Azerbaijan,0.12372870030813439,1.5234769609516876,0.5049510178801043,2020-03-01,False
55,Armenia,0.10573234438188635,1.340800576382616,0.7391881593398028,2020-03-01,False
56,Senegal,0.04631131593233951,0.5641638283509772,0.5913171887975847,2020-03-02,False
57,Saudi Arabia,0.626460263948386,7.425963380122136,0.01760774125401221,2020-03-02,False
58,Indonesia,0.6656934448707034,7.61122675018236,0.47297126723131444,2020-03-02,False
59,Latvia,0.19032785022379373,2.2657189948314036,0.40628694027556267,2020-03-02,False
